taxon_name	count
Eukaryota	16
Viridiplantae	7
Streptophyta	7
Embryophyta	7
Tracheophyta	7
Spermatophyta	7
Magnoliopsida	7
Fungi	6
Dikarya	6
eudicotyledons	5
Gunneridae	5
Pentapetalae	5
rosids	5
Ascomycota	4
malvids	4
Brassicales	4
Brassicaceae	4
Camelineae	4
Arabidopsis	4
Bacteria	3
Metazoa	3
Chordata	3
Craniata	3
Vertebrata	3
Euteleostomi	3
Mammalia	3
Eutheria	3
Pseudomonadati	2
Pseudomonadota	2
Gammaproteobacteria	2
Saccharomycotina	2
Euarchontoglires	2
Basidiomycota	2
Ustilaginomycotina	2
Malasseziomycetes	2
Malasseziales	2
Malasseziaceae	2
Malassezia	2
Liliopsida	2
Poales	2
Poaceae	2
BOP clade	2
Oryzoideae	2
Oryzeae	2
Oryzinae	2
Oryza	2
Oryza sativa	2
fabids	1
Malpighiales	1
Salicaceae	1
Saliceae	1
Populus	1
Chromatiales	1
Chromatiaceae	1
Marichromatium	1
Taphrinomycotina	1
Schizosaccharomycetes	1
Schizosaccharomycetales	1
Schizosaccharomycetaceae	1
Schizosaccharomyces	1
Pezizomycotina	1
Eurotiomycetes	1
Eurotiomycetidae	1
Eurotiales	1
Aspergillaceae	1
Aspergillus	1
Aspergillus subgen. Fumigati	1
Pichiomycetes	1
Pichiales	1
Pichiaceae	1
Ogataea	1
Ogataea/Candida clade	1
Primates	1
Haplorrhini	1
Catarrhini	1
Hominidae	1
Homo	1
Saccharomycetes	1
Saccharomycetales	1
Saccharomycetaceae	1
Saccharomyces	1
Pasteurellales	1
Pasteurellaceae	1
Haemophilus	1
Bacillati	1
Cyanobacteriota	1
Cyanophyceae	1
Synechococcales	1
Merismopediaceae	1
Synechocystis	1
Glires	1
Rodentia	1
Myomorpha	1
Muroidea	1
Muridae	1
Murinae	1
Mus	1
Laurasiatheria	1
Artiodactyla	1
Ruminantia	1
Pecora	1
Bovidae	1
Bovinae	1
Bos	1
